"My Dashboard", "Mój panel"
"Adding...", "Dodawanie.."
"My Account", "Moje konto"
"Contact Us", "Kontakt"
"Short Description", "Krótki Opis"
"Account Dashboard", "Mój Panel"
"Proceed to Checkout","Przejdź do Koszyka"
"Fixed", "Stała"
"Print receipt", "Drukuj potwierdzenie"
"Continue Shopping", "Kontynuuj Zakupy"
"Your order number is: %1.", "Numer Twojego zamówienia to: %1."
"Sorry, no quotes are available for this order right now.", "Proszę czekać"
"View and Edit Cart", "Wyświetl i Edytuj Koszyk"
"Qty", "Ilość"
"Shipping Address","Adres wysyłki"
"Special Price", "Specjalna Cena"
"Regular Price", "Normalna Cena"
"State/Province", "Województwo"
"Company", "Firma"
"Sorry, no quotes are available for this order at this time","Przepraszamy cudzysłowie nie jest dostępne dla tego zamówienia aktualnie"
