sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus
0,,Default,simple,"Default Category,Default Category/Karty",base,"Myszka Miki - gra Piotruś","1x25 listków","1x25 listków",,1,"Taxable Goods","Catalog, Search",4.2900,,,,"myszka miki - gra piotruś","Myszka Miki - gra Piotruś","Myszka Miki - gra Piotruś","Myszka Miki - gra Piotruś",/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a87606imimport08194_16_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a87606imimport08194_16_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a87606imimport08194_16_small.jpg,,,,"10/26/18, 9:02 PM","10/27/18, 12:36 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,3.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a87606imimport08194_16_small.jpg,,,,,,,,,,,,
1,,Default,simple,"Default Category,Default Category/Karty",base,"Auta 2 - gra Piotruś","1x25 listków","1x25 listków",,1,"Taxable Goods","Catalog, Search",4.2900,,,,"auta 2 - gra piotruś","Auta 2 - gra Piotruś","Auta 2 - gra Piotruś","Auta 2 - gra Piotruś",/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808272_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808272_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808272_small.jpg,,,,"10/26/18, 9:02 PM","10/27/18, 12:36 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,3.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808272_small.jpg,,,,,,,,,,,,
2,,Default,simple,"Default Category,Default Category/Karty",base,"Świnka Peppa - gra Piotruś","1x25 listków","1x25 listków",,1,"Taxable Goods","Catalog, Search",4.2900,,,,"świnka peppa - gra piotruś","Świnka Peppa - gra Piotruś","Świnka Peppa - gra Piotruś","Świnka Peppa - gra Piotruś",/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a87606imimport08277_19_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a87606imimport08277_19_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a87606imimport08277_19_small.jpg,,,,"10/26/18, 9:02 PM","10/27/18, 12:36 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,3.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a87606imimport08277_19_small.jpg,,,,,,,,,,,,
3,,Default,simple,"Default Category,Default Category/Karty",base,"Minnie - gra Piotruś","1x25 listków","1x25 listków",,1,"Taxable Goods","Catalog, Search",4.2900,,,,"minnie - gra piotruś","Minnie - gra Piotruś","Minnie - gra Piotruś","Minnie - gra Piotruś",https://sklep.trefl.com/media/catalog/product/cache/4/small_image/150x150/c96a280f94e22e3ee3823dd0a1a87606/0/8/08294_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808294_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808294_small.jpg,,,,"10/26/18, 9:02 PM","10/27/18, 12:36 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,3.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808294_small.jpg,,,,,,,,,,,,
4,,Default,simple,"Default Category,Default Category/Karty",base,"Jake - gra Piotruś","1x25 listków","1x25 listków",,1,"Taxable Goods","Catalog, Search",4.2900,,,,"jake - gra piotruś","Jake - gra Piotruś","Jake - gra Piotruś","Jake - gra Piotruś",/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808414_1_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808414_1_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808414_1_small.jpg,,,,"10/26/18, 9:02 PM","10/26/18, 9:02 PM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,3.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808414_1_small.jpg,,,,,,,,,,,,
5,,Default,simple,"Default Category,Default Category/Karty",base,"Thomas & Friends - gra Piotruś","1x25 listków","1x25 listków",,1,"Taxable Goods","Catalog, Search",4.2900,,,,"thomas & friends - gra piotruś","Thomas & Friends - gra Piotruś","Thomas & Friends - gra Piotruś","Thomas & Friends - gra Piotruś",/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808291_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808291_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808291_small.jpg,,,,"10/26/18, 9:02 PM","10/26/18, 9:02 PM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,3.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808291_small.jpg,,,,,,,,,,,,
6,,Default,simple,"Default Category,Default Category/Karty",base,"Scooby-Doo - gra Piotruś","1x25 listków","1x25 listków",,1,"Taxable Goods","Catalog, Search",4.2900,,,,"scooby-doo - gra piotruś","Scooby-Doo - gra Piotruś","Scooby-Doo - gra Piotruś","Scooby-Doo - gra Piotruś",/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808425_1_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808425_1_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808425_1_small.jpg,,,,"10/26/18, 9:03 PM","10/26/18, 9:03 PM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,3.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808425_1_small.jpg,,,,,,,,,,,,
7,,Default,simple,"Default Category,Default Category/Karty",base,"Królewna Śnieżka - gra Piotruś","1x25 listków","1x25 listków",,1,"Taxable Goods","Catalog, Search",4.2900,,,,"królewna śnieżka - gra piotruś","Królewna Śnieżka - gra Piotruś","Królewna Śnieżka - gra Piotruś","Królewna Śnieżka - gra Piotruś",/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808240_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808240_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808240_small.jpg,,,,"10/26/18, 9:03 PM","10/26/18, 9:03 PM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,3.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808240_small.jpg,,,,,,,,,,,,
8,,Default,simple,"Default Category,Default Category/Karty",base,"Kubuś Puchatek - gra Piotruś","1x25 listków","1x25 listków",,1,"Taxable Goods","Catalog, Search",4.2900,,,,"kubuś puchatek - gra piotruś","Kubuś Puchatek - gra Piotruś","Kubuś Puchatek - gra Piotruś","Kubuś Puchatek - gra Piotruś",/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808428_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808428_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808428_small.jpg,,,,"10/26/18, 9:03 PM","10/26/18, 9:03 PM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,3.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808428_small.jpg,,,,,,,,,,,,
9,,Default,simple,"Default Category,Default Category/Karty",base,"Barbie - gra Piotruś","1x25 listków","1x25 listków",,1,"Taxable Goods","Catalog, Search",4.2900,,,,"barbie - gra piotruś","Barbie - gra Piotruś","Barbie - gra Piotruś","Barbie - gra Piotruś",/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808437_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808437_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808437_small.jpg,,,,"10/26/18, 9:03 PM","10/26/18, 9:03 PM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,3.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808437_small.jpg,,,,,,,,,,,,
